student_id,student_name,department_id
S001,Jeffrey,
S002,Stacey,13.0
S003,Terri,10.0
S004,William,7.0
S005,Jasmine,
S006,Christopher,13.0
S007,Elizabeth,1.0
S008,Donna,17.0
S009,,5.0
S010,Jeffrey,6.0
S011,Jeffrey,11.0
S012,Thomas,6.0
S013,Nicole,11.0
S014,Lisa,14.0
S015,Brenda,2.0
S016,Patrick,5.0
S017,Linda,
S018,Alan,12.0
S019,Robin,13.0
S020,Laura,11.0
S021,Chris,9.0
S022,Stephanie,8.0
S023,Sarah,16.0
S024,Kim,7.0
S025,James,5.0
S026,Victor,
S027,James,15.0
S028,Anthony,4.0
S029,Charlotte,11.0
S030,Joel,10.0
S031,Fernando,1.0
S032,,11.0
S033,,1.0
S034,Valerie,14.0
S035,Nicholas,13.0
S036,Donald,18.0
S037,Ernest,11.0
S038,Antonio,16.0
S039,Rebecca,4.0
S040,Jean,20.0
S041,Jason,19.0
S042,Benjamin,12.0
S043,Lori,5.0
S044,Lisa,20.0
S045,Heather,1.0
S046,Angela,3.0
S047,Eric,1.0
S048,Tanya,9.0
S049,,15.0
S050,Diane,12.0
S051,Mary,12.0
S052,,12.0
S053,,20.0
S054,Jane,12.0
S055,Daniel,4.0
S056,Tiffany,
S057,,13.0
S058,Tonya,15.0
S059,Ashley,18.0
S060,Kevin,2.0
S061,Kathryn,8.0
S062,Jaime,12.0
S063,Victoria,16.0
S064,Janice,20.0
S065,Jeremy,13.0
S066,Michael,2.0
S067,Laura,4.0
S068,Jennifer,1.0
S069,Nicholas,12.0
S070,Jennifer,2.0
S071,Shelia,6.0
S072,Matthew,19.0
S073,Michelle,10.0
S074,Teresa,8.0
S075,Samantha,14.0
S076,Ashley,4.0
S077,Matthew,13.0
S078,Andrew,20.0
S079,Brenda,18.0
S080,Stacey,11.0
S081,Amanda,7.0
S082,Philip,8.0
S083,Kathryn,9.0
S084,Ryan,3.0
S085,Ronnie,9.0
S086,Alexander,13.0
S087,Brittany,17.0
S088,Donald,12.0
S089,Ian,2.0
S090,Pamela,10.0
S091,Shaun,4.0
S092,Paula,2.0
S093,Heather,14.0
S094,Donald,15.0
S095,,13.0
S096,Sarah,14.0
S097,Natalie,11.0
S098,Stephen,8.0
S099,Connie,5.0
S100,Richard,4.0
S101,Mark,18.0
S102,Sarah,14.0
S103,Jennifer,2.0
