student_id,student_name,department_id
S00001,John,7
S00002,Lindsey,5
S00003,Andrew,14
S00004,Jason,12
S00005,Katelyn,11
S00006,Brian,15
S00007,Aaron,18
S00008,Alison,3
S00009,Douglas,15
S00010,Jamie,14
S00011,Sarah,9
S00012,Matthew,15
S00013,Dominic,11
S00014,Melinda,2
S00015,Monica,15
S00016,Robert,1
S00017,Joshua,11
S00018,William,2
S00019,Lindsay,10
S00020,Kristen,16
S00021,Joshua,1
S00022,Manuel,14
S00023,Austin,17
S00024,David,14
S00025,Jamie,9
S00026,Kelly,9
S00027,David,16
S00028,Elizabeth,9
S00029,David,3
S00030,Christine,4
S00031,Melissa,12
S00032,Mary,14
S00033,Angela,16
S00034,Robert,3
S00035,Katie,1
S00036,Brent,18
S00037,Debra,5
S00038,James,4
S00039,Michael,18
S00040,Karen,14
S00041,Erica,15
S00042,James,9
S00043,Cody,14
S00044,Martha,20
S00045,Amy,1
S00046,Christopher,7
S00047,John,13
S00048,Glenn,2
S00049,Juan,11
S00050,Diane,6
S00051,Marcus,20
S00052,Jeffrey,12
S00053,Ashley,4
S00054,John,11
S00055,Victoria,18
S00056,Timothy,14
S00057,Chelsea,6
S00058,Christopher,9
S00059,Deanna,4
S00060,Lee,3
S00061,Melissa,14
S00062,Jacob,12
S00063,Ann,17
S00064,Todd,8
S00065,Monica,9
S00066,Jessica,17
S00067,Jeffrey,16
S00068,James,7
S00069,Lindsey,16
S00070,Michael,19
S00071,Jeremiah,5
S00072,Cynthia,2
S00073,Nathan,20
S00074,Stephanie,18
S00075,Karen,3
S00076,Lauren,19
S00077,Charles,12
S00078,Sean,1
S00079,Jasmine,7
S00080,Timothy,6
S00081,Victoria,20
S00082,Denise,8
S00083,Jason,7
S00084,Cassandra,11
S00085,Logan,18
S00086,Nancy,17
S00087,Jason,10
S00088,Lisa,1
S00089,Charles,6
S00090,Eric,10
S00091,Brent,7
S00092,Donna,7
S00093,Michael,4
S00094,Lauren,3
S00095,Mark,3
S00096,Christopher,10
S00097,Jason,17
S00098,Matthew,17
S00099,Kimberly,9
S00100,Barbara,2
S00101,Michele,18
S00102,James,3
S00103,Haley,13
S00104,Andrea,5
S00105,Cesar,4
S00106,Jim,18
S00107,Catherine,4
S00108,Scott,4
S00109,Ricky,12
S00110,Kevin,18
S00111,Stephen,10
S00112,Janice,3
S00113,Tina,17
S00114,James,5
S00115,Shawn,14
S00116,Christina,6
S00117,Barbara,8
S00118,Kimberly,8
S00119,Sarah,9
S00120,Matthew,2
S00121,Katherine,9
S00122,Dustin,8
S00123,Natasha,7
S00124,Stephanie,4
S00125,Gina,15
S00126,Ann,19
S00127,Howard,13
S00128,Kevin,14
S00129,Kenneth,13
